adb	5.0.2~6fe92d1a-r3	55.93 KiB	Android Debug Bridge (adb) is a versatile command line tool that lets you communicate with an emulator instance or connected Android-powered device.	
kmod-nft-fib	6.6.61-r1	6.93 KiB	Netfilter nf_tables fib support	
 
kmod-nft-nat	6.6.61-r1	5.62 KiB	Netfilter nf_tables NAT support	
 
kmod-nft-offload	6.6.61-r1	5.69 KiB	Netfilter nf_tables routing/NAT offload support	
 
kmod-nls-base	6.6.61-r1	732 B	Kernel module for NLS (Native Language Support)	
 
kmod-nls-cp1250	6.6.61-r1	2.98 KiB	Kernel module for NLS Codepage 1250 (Eastern Europe)	
 
kmod-nls-cp437	6.6.61-r1	3.06 KiB	Kernel module for NLS Codepage 437 (United States, Canada)	
 
kmod-nls-iso8859-1	6.6.61-r1	2.73 KiB	Kernel module for NLS ISO 8859-1 (Latin 1)
kmod-nls-ucs2-utils	6.6.61-r1	1.58 KiB	UCS-2 common library	
 
kmod-nls-utf8	6.6.61-r1	2.02 KiB	Kernel module for NLS UTF-8	
 
kmod-oid-registry	6.6.61-r1	3.11 KiB	Object identifier registry	
 
kmod-ovpn-dco-v2	6.6.61.0.2.20240320-r1	27.11 KiB	This module enhances the performance of the OpenVPN userspace software by offloading the data channel processing to kernelspace.	
 
kmod-ppp	6.6.61-r1	24.88 KiB	Kernel modules for PPP support	
 
kmod-pppoe	6.6.61-r1	8.24 KiB	Kernel module for PPPoE (PPP over Ethernet) support	
 
kmod-pppox	6.6.61-r1	2.48 KiB	Kernel helper module for PPPoE and PPTP support	
 
kmod-scsi-core	6.6.61-r1	91.44 KiB	SCSI device support	
 
kmod-slhc	6.6.61-r1	4.27 KiB	Serial Line Header Compression	
 
kmod-tun	6.6.61-r1	25.70 KiB	Kernel support for the TUN/TAP tunneling device	
 
kmod-udptunnel4	6.6.61-r1	8.79 KiB	IPv4 UDP tunneling support	
 
kmod-udptunnel6	6.6.61-r1	2.69 KiB	IPv6 UDP tunneling support	
 
kmod-usb-core	6.6.61-r1	907 B	Kernel support for USB	
 
kmod-usb-dwc3	6.6.61-r1	18.29 KiB	This driver provides support for the Dual Role SuperSpeed USB Controller based on the Synopsys DesignWare USB3 IP Core	
 
kmod-usb-dwc3-qcom	6.6.61-r1	5.72 KiB	Some Qualcomm SoCs use DesignWare Core IP for USB2/3 functionality. This driver also handles Qscratch wrapper which is needed for peripheral mode support.	
 
kmod-usb-ehci	6.6.61-r1	25.13 KiB	EHCI controller support	
 
kmod-usb-net	6.6.61-r1	13.86 KiB	Kernel modules for USB-to-Ethernet convertors	
 
kmod-usb-net-qmi-wwan	6.6.61-r1	9.63 KiB	QMI WWAN driver for Qualcomm MSM based 3G and LTE modems	
 
kmod-usb-serial	6.6.61-r1	14.93 KiB	Kernel support for USB-to-Serial converters	
 
kmod-usb-serial-option	6.6.61-r1	7.28 KiB	Kernel support for Option HSDPA modems	
 
kmod-usb-serial-wwan	6.6.61-r1	4.31 KiB	Kernel support for USB GSM and CDMA modems	
 
kmod-usb-storage	6.6.61-r1	25.31 KiB	Kernel support for USB Mass Storage devices	
 
kmod-usb-wdm	6.6.61-r1	8.14 KiB	USB Wireless Device Management support	
 
kmod-usb-xhci-hcd	6.6.61-r1	66.98 KiB	The eXtensible Host Controller Interface (xHCI) is standard for USB 3.0 "SuperSpeed" host controller hardware.	
 
kmod-usb2	6.6.61-r1	9.24 KiB	Kernel support for USB2 (EHCI) controllers	
 
kmod-usb3	6.6.61-r1	8.79 KiB	Kernel support for USB3 (XHCI) controllers	
 
kmod-wireguard	6.6.61-r1	36.36 KiB	WireGuard is a novel VPN that runs inside the Linux Kernel and utilizes state-of-the-art cryptography. It aims to be faster, simpler, leaner, and more useful than IPSec, while avoiding the massive headache. It intends to be considerably more performant than OpenVPN. WireGuard is designed as a general purpose VPN for running on embedded interfaces and super computers alike, fit for many different circumstances. It uses UDP.	
 
kmod-zram	6.6.61-r1	19.19 KiB	Compressed RAM block device support	
 
ksmbd-hotplug	3.5.2-r1	1.27 KiB	Kernel SMB hotplug script for auto sharing	
 
ksmbd-server	3.5.2-r1	117.00 KiB	installs: ksmbd.mountd This provides the basic fileserver service and is the minimum needed to serve 'guest only' file shares or use a existing user database file ksmbdpwd.db.	
 
libatomic1	13.3.0-r4	5.48 KiB	Atomic support library	
 
libblobmsg-json20240329	2024.03.29~eb9bcb64-r1	3.97 KiB	blobmsg <-> json conversion library	
 
libc	1.2.5-r4	270.62 KiB	C library	
 
libcap-ng	0.8.4-r1	8.35 KiB	POSIX capabilities library library	
 
libcurl4	8.10.1-r1	195.77 KiB	A client-side URL transfer library	
 
libgcc1	13.3.0-r4	21.12 KiB	GCC support library	
 
libiperf3	3.17.1-r4	64.59 KiB	Libiperf is a library providing an API for iperf3 functionality.	
 
libiwinfo-data	2024.10.20~b94f066e-r1	3.72 KiB	libiwinfo Lua binding	
 
libiwinfo20230701	2024.10.20~b94f066e-r1	23.94 KiB	Wireless information library with simplified API for nl80211 and wext driver interfaces.	
 
